status,report,source,old_h1_len,old_max_line_len,new_h1_len,new_max_line_len,new_chars
rewritten,"00-books-result/Between Wit and Reason_ Defining Associative, Speculative, -- Malpass, Matt（Cent/B44144519-Between-Wit-and-Reason-Defining-Associative-Speculative-Malpass-Matt-Cent-report.md","00-books/Between Wit and Reason_ Defining Associative, Speculative, -- Malpass, Matt（Cent/Between Wit and Reason_ Defining Associative, Speculative, -- Malpass, Matt（Cent.md",181,395,181,395,10664
rewritten,00-books-result/Cairo：《The functional art an introduction to information graphics and visualization》/B3991-Cairo-The-functional-art-an-introduction-to-information-graphics-report.md,00-books/Cairo：《The functional art an introduction to information graphics and visualization》/Cairo：《The functional art an introduction to information graphics and visualization》_02_body_27.2°_the_27.0%_functional_art.md,108,718,108,470,5380
rewritten,00-books-result/Chermayeff：《Identify. Basic Principles of Identity Design in the Iconic Trademar/B44144529-Chermayeff-Identify-Basic-Principles-of-Identity-Design-in-the-Iconic-Trademar-report.md,00-books/Chermayeff：《Identify. Basic Principles of Identity Design in the Iconic Trademar/Chermayeff：《Identify. Basic Principles of Identity Design in the Iconic Trademar.md,189,342,189,342,9348
rewritten,"00-books-result/Design futuring ： sustainability, ethics, and new practice -- Tony Fry -- 1, Lon/B44133338-Design-futuring-sustainability-ethics-and-new-practice-Tony-Fry-report.md","00-books/Design futuring ： sustainability, ethics, and new practice -- Tony Fry -- 1, Lon/Design futuring ： sustainability, ethics, and new practice -- Tony Fry -- 1, Lon_07_bibliography_Notes.md",86,660,86,433,5269
rewritten,"00-books-result/Design Research： Methods and Perspectives (The MIT Press) -- Laurel, Brenda -- C/B44133397-Design-Research-Methods-and-Perspectives-The-MIT-Press-Laurel-Br-report.md","00-books/Design Research： Methods and Perspectives (The MIT Press) -- Laurel, Brenda -- C/Design Research： Methods and Perspectives (The MIT Press) -- Laurel, Brenda -- C_06_preface_Acknowledgements.md",98,681,98,448,5845
rewritten,"00-books-result/Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor/B44133471-Design-History-and-Time-_-New-Temporalities-in-a-Digital-Hendon-report.md","00-books/Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor/Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor_32_body_9_Tube_Time__How_the_Subterran.md",140,660,140,416,5515
rewritten,"00-books-result/Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor/B44133475-Design-History-and-Time-_-New-Temporalities-in-a-Digital-Hendon-report.md","00-books/Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor/Design, History and Time _ New Temporalities in a Digital -- Hendon, Zoë (editor_36_body_10_Dreams_of_the_Fun_Palace_an.md",174,660,174,416,5928
rewritten,00-books-result/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/B44133621-Digital-Materialities-Design-and-Anthropology-Sarah-Pink-Elisend-report.md,00-books/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;_02_toc_Contents.md,90,675,90,454,5616
rewritten,00-books-result/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/B44133624-Digital-Materialities-Design-and-Anthropology-Sarah-Pink-Elisend-report.md,00-books/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;_05_preface_Acknowledgements.md,98,681,98,448,6222
rewritten,00-books-result/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/B44133625-Digital-Materialities-Design-and-Anthropology-Sarah-Pink-Elisend-report.md,00-books/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;_06_body_Smart_global_futures__Designin.md,156,666,156,422,5644
rewritten,00-books-result/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/B44133648-Digital-Materialities-Design-and-Anthropology-Sarah-Pink-Elisend-report.md,00-books/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;_29_bibliography_Notes.md,87,675,87,448,5396
rewritten,00-books-result/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/B44133650-Digital-Materialities-Design-and-Anthropology-Sarah-Pink-Elisend-report.md,00-books/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;/Digital Materialities ： Design and Anthropology -- Sarah Pink; Elisenda Ardèvol;_31_bibliography_Bibliography.md,94,682,94,448,5436
rewritten,00-books-result/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》/B44134546-Erich-Gamma-Design-Patterns-Elements-of-Reusable-Object-Oriented-report.md,00-books/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》_09_preface_Figure_1.1__Design_pattern_rel.md,122,670,122,428,5592
rewritten,00-books-result/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》/B44134547-Erich-Gamma-Design-Patterns-Elements-of-Reusable-Object-Oriented-report.md,00-books/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》_10_body_1.6_How_Design_Patterns_Solve_.md,127,673,127,434,5838
rewritten,00-books-result/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》/B44134572-Erich-Gamma-Design-Patterns-Elements-of-Reusable-Object-Oriented-report.md,00-books/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》/Erich Gamma：《Design Patterns Elements of Reusable Object-Oriented Software》_35_appendix_Appendix_C.md,92,651,92,428,5246
rewritten,00-books-result/Graeme Brooker Sally Stone：《Re-Readings 2 Interior Architecture and the Principl/B44135001-Graeme-Brooker-Sally-Stone-Re-Readings-2-Interior-Architecture-a-report.md,00-books/Graeme Brooker Sally Stone：《Re-Readings 2 Interior Architecture and the Principl/Graeme Brooker Sally Stone：《Re-Readings 2 Interior Architecture and the Principl_34_bibliography_References.md,92,680,92,448,5323
rewritten,00-books-result/Graeme Brooker Sally Stone：《Re-Readings 2 Interior Architecture and the Principl/B44135004-Graeme-Brooker-Sally-Stone-Re-Readings-2-Interior-Architecture-a-report.md,00-books/Graeme Brooker Sally Stone：《Re-Readings 2 Interior Architecture and the Principl/Graeme Brooker Sally Stone：《Re-Readings 2 Interior Architecture and the Principl_37_preface_Foreword___Introduction.md,105,695,105,455,6002
rewritten,00-books-result/Jenny L. Davis：《How Artifacts Afford The Power and Politics of Everyday Things》/B44135645-Jenny-L-Davis-How-Artifacts-Afford-The-Power-and-Politics-of-Eve-report.md,00-books/Jenny L. Davis：《How Artifacts Afford The Power and Politics of Everyday Things》/Jenny L. Davis：《How Artifacts Afford The Power and Politics of Everyday Things》_05_bibliography_Notes.md,87,658,87,432,5520
rewritten,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B44144715-Love-objects-emotion-design-and-material-culture-Anna-Moran-Editor-Sor-27-body-T-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor_27_body_The_imagined_sex_shop___‘Posh_.md",191,416,191,416,8935
rewritten,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B44144716-Love-objects-emotion-design-and-material-culture-Anna-Moran-Editor-Sor-33-body-K-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor_33_body_Katrina’s_‘Letter_of_Intent’__.md",191,418,191,418,8664
rewritten,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B44144717-Love-objects-emotion-design-and-material-culture-Anna-Moran-Editor-Sor-37-body-1-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor_37_body_1_‘I_Love_Giving_Presents’___2.md",191,421,191,421,9356
rewritten,00-books-result/Löwgren：《Thoughtful interaction design a design perspective on information technology》/B44137541-Löwgren-Thoughtful-interaction-design-a-design-perspective-on-in-report.md,00-books/Löwgren：《Thoughtful interaction design a design perspective on information technology》/Löwgren：《Thoughtful interaction design a design perspective on information technology》_01_cover_封面_扉页.md,87,662,87,436,4990
rewritten,"00-books-result/Objects of desire ： design and society since 1750 -- Forty, Adrian, 1948- -- New/B44139033-Objects-of-desire-design-and-society-since-1750-Forty-Adrian-194-report.md","00-books/Objects of desire ： design and society since 1750 -- Forty, Adrian, 1948- -- New/Objects of desire ： design and society since 1750 -- Forty, Adrian, 1948- -- New_06_body_2._The_First_Industrial_Design.md",115,698,115,454,5174
rewritten,00-books-result/Philip Steadman：《The Evolution of Designs Biological Analogy in Architecture and/B44144738-Philip-Steadman-The-Evolution-of-Designs-Biological-Analogy-in-Architecture-and-report.md,00-books/Philip Steadman：《The Evolution of Designs Biological Analogy in Architecture and/Philip Steadman：《The Evolution of Designs Biological Analogy in Architecture and.md,190,252,190,252,9426
rewritten,00-books-result/Rudolf Arnheim：《The Dynamics of Architectural Form Based on the 1975 Mary Duke Biddle Lectures at the Cooper Union》，1975/B44144748-Rudolf-Arnheim-The-Dynamics-of-Architectural-Form-Based-on-the-1975-Mary-Duke-Bi-report.md,00-books/Rudolf Arnheim：《The Dynamics of Architectural Form Based on the 1975 Mary Duke Biddle Lectures at the Cooper Union》，1975/Rudolf Arnheim：《The Dynamics of Architectural Form Based on the 1975 Mary Duke Biddle Lectures at the Cooper Union》，1975.md,191,332,191,332,7959
rewritten,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B44144762-Scandinavian-Design-Alternative-Histories-Kjetil-Fallan-editor-03-preface-A-Hist-report.md,00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))_03_preface_A_Historiography_of_Scandinavi.md,191,365,191,365,11892
rewritten,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B44144765-Scandinavian-Design-Alternative-Histories-Kjetil-Fallan-editor-06-body-CONCLUSIO-report.md,00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))_06_body_CONCLUSION__WHAT_IS_SO_SCANDIN.md,191,378,191,378,12394
rewritten,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B44144768-Scandinavian-Design-Alternative-Histories-Kjetil-Fallan-editor-09-body-CHAPTER-1-report.md,00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))_09_body_CHAPTER_1._A_HISTORIOGRAPHY_OF.md,191,385,191,385,9792
rewritten,00-books-result/Steven Heller Veronique Vienne：《Citizen Designer Perspectives on Design Responsi/B44140637-Steven-Heller-Veronique-Vienne-Citizen-Designer-Perspectives-on-report.md,00-books/Steven Heller Veronique Vienne：《Citizen Designer Perspectives on Design Responsi/Steven Heller Veronique Vienne：《Citizen Designer Perspectives on Design Responsi_05_body_Part_1.md,87,674,87,454,5149
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144821-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-02-toc-CO-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_02_toc_CONTENTS.md",106,675,106,454,5642
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144824-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-05-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_05_preface_ACKNOWLEDGEMENTS___GENERAL_INT.md",191,410,191,410,9810
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144829-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-100-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_100_body_HUMANIZING_MODERNISM_THE_CRAFT.md",190,435,190,435,7917
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144831-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-102-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_102_body_'IN_LONDON'S_MAZE'__THE_PLEASU.md",190,416,190,416,8011
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144833-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-104-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_104_body_SELF-MADE_MOTORMEN__THE_MATERI.md",190,663,190,418,6335
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144837-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-108-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_108_body_SECTION_10___Consumption.md",121,682,121,443,5653
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144838-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-109-prefa-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_109_preface_INTRODUCTION.md",110,656,110,426,5464
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144842-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-112-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_112_body_CONSPICUOUS_CONSUMPTION,_IN_TH.md",190,416,190,416,9215
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144844-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-114-prefa-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_114_preface_INTRODUCTION_AND_THE_SENSE_OF_.md",160,673,160,425,5782
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144845-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-115-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_115_body_Pierre_Bourdieu_(1979).md",117,675,117,438,5530
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144850-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-11-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_11_preface_MANUFACTURING,_CONSUMPTION_AND.md",191,433,191,433,8426
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144854-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-123-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_123_body_SECTION_11___Mediation.md",119,680,119,443,5551
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144855-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-124-prefa-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_124_preface_INTRODUCTION.md",110,672,110,442,5480
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144856-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-125-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_125_body_Grace_Lees-Maffei___THE_WORK_O.md",190,420,190,420,9713
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144858-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-127-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_127_body_R._&_A._GARRETT__HOUSE_DECORAT.md",190,418,190,418,8606
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144860-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-129-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_129_body_INTEGRATIVE_PRACTICE__ORAL_HIS.md",190,440,190,440,8807
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144863-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-131-prefa-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_131_preface_INTRODUCTION_TO_DESIGN_AND_THE.md",144,681,144,433,5637
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144864-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-132-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_132_body_Jeremy_Aynsley_and_Kate_Forde_.md",187,461,187,461,8024
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144866-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-134-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_134_body_SECTION_12___Local_Regional_Na.md",140,688,140,443,5578
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144867-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-135-prefa-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_135_preface_INTRODUCTION.md",110,680,110,450,5488
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144872-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-13-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_13_preface_SECTION_2___INTRODUCTION___Reb.md",186,433,186,433,9104
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144877-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-144-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_144_body_LAND_ROVER_AND_COLONIAL-STYLE_.md",158,663,158,418,5522
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144879-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-146-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_146_body_LAND_ROVER_AND_THE_ADVERTISING.md",190,418,190,418,8435
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144881-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-148-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_148_body_SWOOSH_IDENTITY__RECONTEXTUALI.md",167,663,167,418,6073
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144884-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-150-body-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_150_body_THE_SWOOSH_IN_ROMANIA_AND_HAIT.md",189,440,189,440,8255
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144888-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-15-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_15_preface_THE_IDEAL_BOOK_William_Morris_.md",191,440,191,440,9089
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144893-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-20-prefac-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_20_preface_SECTION_3___INTRODUCTION___Reb.md",191,433,191,433,7976
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B44144897-The-design-history-reader-Grace-Lees-Maffei-Rebecca-Houze-eds-New-York-24-body-T-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York_24_body_THE_COLORISTES_AND_CHARLES-EDO.md",191,414,191,414,7971
