priority,rewrite_type,report,source,source_chars,report_chars,original_action,entity_overlap,instruction
R1,大体量源文完整重写,00-books-result/Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14/B0365-Foreword-Pelican-Edition-report.md,00-books/Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14/05-Foreword to the Pelican Edition.md,87044,134,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0417-Courtly-Stylistic-Regime-report.md,00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/02-The Courtly Stylistic Regime.md,76866,153,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0421-Revolutionary-Transformation-report.md,00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/06-Revolutionary Transformation.md,75125,159,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0741-Ethics-Aesthetics-Design-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/37-ETHICS, AESTHETICS, AND DESIGN.md",70641,88,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B0752-Sensing-a-Dwelling-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/09-Sensing a Dwelling.md",57465,87,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B0756-Sharing-Not-Buying-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/13-Sharing not Buying.md",46870,91,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0735-Fourth-Order-Design-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/28-FOURTH-ORDER DESIGN A PRACTICALPERSPECTIVE.md",46663,99,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0717-Scenario-for-Design-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/07-A SCENARIO FOR DESIGN.md",45216,89,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0721-Things-That-Matter-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/11-THE THINGS THAT MATTER.md",45183,81,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B0750-Designing-Safer-Future-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/07-Designing for a Safer Future.md",45072,95,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/Grand Designs Labor, Empire, and the Museum in Victorian Culture/B0278-Introduction-report.md","00-books/Grand Designs Labor, Empire, and the Museum in Victorian Culture/03-Introduction.md",43759,317,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0740-Ecological-Design-Critique-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/35-ECOLOGICAL DESIGN A NEW CRITIQUE.md",43030,99,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0733-Visibility-in-Progress-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/26-VISIBILITY IN PROGRESS.md",38179,87,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0305-Seduced-by-Archive-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/18-Seduced by the Archive.md",35326,304,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0310-material-memories-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/23-Material Memories.md",29920,156,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0308-magic-toyshops-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/21-'Magic Toyshops'.md",27269,176,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0945-Modern-Design-First-Wave-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/186-Modern Design The First Wave.md,27005,87,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0301-genteel-craft-subversion-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/14-The Genteel Craft of Subversion.md",26717,183,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B0749-Here-Today-Gone-Tomorrow-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/06-Here Today, Gone Tomorrow.md",26211,90,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1090-Bezalel-After-World-War-I-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/322-Bezalel after World War I.md,24346,90,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0375-Finland-Norway-report.md,00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/05-FINLAND NORWAY.md,21917,124,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0313-ecological-destruction-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/26-Ecological destruction.md",21320,177,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R2,中体量源文 V2 重写,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0446-Last-Third-Nineteenth-Century-report.md","00-books/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/12-IN THE LAST THIRD OF THE NINETEENTH CENTURY, THEUN.md",19065,172,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B0456-General-Introduction-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/03-GENERAL INTRODUCTION.md",18782,128,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0303-gender-class-pipe-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/16-Gender, class and the pipe.md",17311,189,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0307-war-national-identity-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/20-War and national identity.md",16879,183,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The printed image and the transformation of popular culture, 1790-1860 (Anderson/B0767-Trial-and-Execution-report.md","00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/07-The Trial and Execution of.md",15392,88,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0713-General-Introduction-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/03-GENERAL INTRODUCTION.md",14792,97,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/Personas, Participatory Design and Product Development An Infrastructure for Engagement/B0359-benefits-risks-personas-report.md","00-books/Personas, Participatory Design and Product Development An Infrastructure for Engagement/02-Benefits of personas Risks of personas.md",14435,175,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The printed image and the transformation of popular culture, 1790-1860 (Anderson/B0794-England-Going-Down-Hill-report.md","00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/35-England's going down the Hill..md",14360,95,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0870-Functional-Graphic-Design-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/117-Functional graphic design.md,14310,81,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0393-Artistic-Accord-Photogenic-report.md,00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/36-AN ARTISTIC ACCORD PHOTOGENIC DESIGN.md,13178,130,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0712-Authors-Biographies-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/02-AUTHORS' BIOGRAPHIES.md",12985,82,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0420-From-Style-to-Taste-report.md,00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/05-FROM STYLE TO TASTE.md,12571,150,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1175-Graphic-Design-Matures-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/402-Graphic design matures.md,12438,326,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0391-Something-Old-New-Stolen-report.md,"00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/32-Something Old, Something New,Something Stolen, Som.md",12384,145,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0938-Books-and-Magazines-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/18-Books and Magazines.md,10578,75,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The printed image and the transformation of popular culture, 1790-1860 (Anderson/B0792-Jack-Sheppard-report.md","00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/33-JACK SHEPPARD.md",10399,72,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0371-About-Authors-report.md,00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/01-About the Authors.md,10061,86,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1108-Commercial-art-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/34-Commercial art.md,9846,68,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0352-Training-Automatic-Control-report.md","00-books/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/03-8. Assist in training programs AUTOMATIC CONTROL's.md",9772,133,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B0478-Ornament-and-Crime-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/23-ORNAMENT AND CRIME.md",9150,162,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0321-Notes-on-Contributors-OCR-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/04-NOTES ON CONTRIBUTORS.md",8510,160,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0321-notes-on-contributors-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/04-NOTES ON CONTRIBUTORS.md",8510,167,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/B0832-Embodied-Design-report.md","00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/29-Embodied design.md",8445,80,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The printed image and the transformation of popular culture, 1790-1860 (Anderson/B0780-London-Journal-01-report.md","00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/26-LONDON JOURNAL.md",8293,78,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The printed image and the transformation of popular culture, 1790-1860 (Anderson/B0785-London-Journal-02-report.md","00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/26-LONDON JOURNAL.md",8293,78,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,"00-books-result/The printed image and the transformation of popular culture, 1790-1860 (Anderson/B0787-London-Journal-03-report.md","00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/26-LONDON JOURNAL.md",8293,74,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1050-Railway-Publicity-Campaigns-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/285-Railway publicity campaigns.md,8270,93,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0853-Introduction-Volume-2-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/07-Introduction to Volume 2.md,8248,98,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0894-Fashion-Furniture-Ceramics-report.md,"00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/14-Fashion, Furniture, and Ceramics.md",8236,96,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0951-Industrial-Design-Outside-New-York-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/192-Industrial Design outside New York.md,8192,88,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0886-Graphic-Arts-Before-Independence-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/132-The graphic arts before independence.md,8140,94,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1114-Schools-for-craftsmen-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/345-Schools for craftsmen.md,7635,96,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
R2,中体量源文 V2 重写,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0967-US-Graphic-Design-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/84-Graphic design.md,7168,82,needs_v2_rewrite,,需重新读取源文主要段落，生成完整 V2 复审报告；不得沿用旧短报告。
